TID,PID,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
2015-NONE,HS Sharath-2015,HS Sharath,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Rahul Shukla-2015,Rahul Shukla,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Aravind Sreenath-2015,Aravind Sreenath,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Basil Thamhy-2015,Basil Thamhy,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Bhargav Bhatt-2015,Bhargav Bhatt,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Mihir HIrwani-2015,Mihir HIrwani,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Sarabjit Ladda-2015,Sarabjit Ladda,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Ali Murtaza-2015,Ali Murtaza,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Rahil S Shah-2015,Rahil S Shah,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Swapnil Asnodkar-2015,Swapnil Asnodkar,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Sachin Baby-2015,Sachin Baby,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Udit Birla-2015,Udit Birla,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Arindam Ghosh-2015,Arindam Ghosh,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Ishank Jaggi-2015,Ishank Jaggi,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Manprit Juneja-2015,Manprit Juneja,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Abrar Anjum Kazi-2015,Abrar Anjum Kazi,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Taruwar Kohli-2015,Taruwar Kohli,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Milind Kumar-2015,Milind Kumar,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Avi Barot-2015,Avi Barot,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Ian Coster-2015,Ian Coster,Overseas,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Gitansh Khera-2015,Gitansh Khera,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Abdul Ahad Malek-2015,Abdul Ahad Malek,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Dhwanil Patel-2015,Dhwanil Patel,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Mahesh Rawat-2015,Mahesh Rawat,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Jitesh Sharma-2015,Jitesh Sharma,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Umang Sharma-2015,Umang Sharma,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Rush Kalaria-2015,Rush Kalaria,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Darshan Misal-2015,Darshan Misal,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Biplab Samantray-2015,Biplab Samantray,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Manan Ajay Sharma-2015,Manan Ajay Sharma,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Harmeet Singh-2015,Harmeet Singh,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Harpreet Singh-2015,Harpreet Singh,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Amit Yadav-2015,Amit Yadav,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Harmeet Singh Bansal-2015,Harmeet Singh Bansal,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Deepak Chahar-2015,Deepak Chahar,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Aniket Choudhary-2015,Aniket Choudhary,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Lukman Iqbal Meriwala-2015,Lukman Iqbal Meriwala,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Umar Nazir-2015,Umar Nazir,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Prasanth Parameswaran-2015,Prasanth Parameswaran,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Anand Rajan-2015,Anand Rajan,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Ankit Singh Rajpoot-2015,Ankit Singh Rajpoot,Overseas,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Navdeep Saini-2015,Navdeep Saini,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Vikas Tokas-2015,Vikas Tokas,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Yuvraj Chudasama-2015,Yuvraj Chudasama,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Udit Patel-2015,Udit Patel,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Samar Quadri-2015,Samar Quadri,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Lakshan Sandakan-2015,Lakshan Sandakan,Overseas,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Gurvinder Singh-2015,Gurvinder Singh,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Rajwinder Singh-2015,Rajwinder Singh,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Bharat Solanki-2015,Bharat Solanki,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Ankeet Bawane-2015,Ankeet Bawane,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Akhil Arvind Herwadkar-2015,Akhil Arvind Herwadkar,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Shubham Khajuria-2015,Shubham Khajuria,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Evin Lewis-2015,Evin Lewis,Overseas,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Prashant Naik-2015,Prashant Naik,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Sujit Nayak-2015,Sujit Nayak,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,R Samarth-2015,R Samarth,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Virat Singh-2015,Virat Singh,Indian,Batsman,1,UNSOLD,NONE,2015
2015-NONE,Akash Bhandari-2015,Akash Bhandari,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Kuldeep Hooda-2015,Kuldeep Hooda,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Sunil N Raju-2015,Sunil N Raju,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Amitoze Singh-2015,Amitoze Singh,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Gurinder Singh-2015,Gurinder Singh,Indian,All-Rounder,1,UNSOLD,NONE,2015
2015-NONE,Prathamesh Ganesh Dake-2015,Prathamesh Ganesh Dake,Indian,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Ryan Duffield-2015,Ryan Duffield,Overseas,Bowler,1,UNSOLD,NONE,2015
2015-NONE,Samad Fallah-2015,Samad Fallah,Indian,Bowler,1,UNSOLD,NONE,2015
2014-Royal Challengers Bangalore,Yuvraj Singh-2014,Yuvraj Singh,Indian,All-Rounder,140,SOLD,Royal Challengers Bangalore,2014
2014-Delhi Daredevils,Dinesh Karthik-2014,Dinesh Karthik,Indian,Batsman,125,SOLD,Delhi Daredevils,2014
2014-Delhi Daredevils,Kevin Pietersen-2014,Kevin Pietersen,Overseas,Batsman,90,SOLD,Delhi Daredevils,2014
2014-Kings XI Punjab,Mitchell Johnson-2014,Mitchell Johnson,Overseas,All-Rounder,65,SOLD,Kings XI Punjab,2014
2014-Kings XI Punjab,Glenn Maxwell-2014,Glenn Maxwell,Overseas,All-Rounder,60,SOLD,Kings XI Punjab,2014
2014-Kolkata Knight Riders,Jacques Kallis-2014,Jacques Kallis,Overseas,All-Rounder,55,SOLD,Kolkata Knight Riders,2014
2014-Sunrisers Hyderabad,David Warner-2014,David Warner,Overseas,Batsman,55,SOLD,Sunrisers Hyderabad,2014
2014-Delhi Daredevils,Murali Vijay-2014,Murali Vijay,Indian,Batsman,50,SOLD,Delhi Daredevils,2014
2014-Kolkata Knight Riders,Robin Uthappa-2014,Robin Uthappa,Indian,Batsman,50,SOLD,Kolkata Knight Riders,2014
2014-Mumbai Indians,Michael Hussey-2014,Michael Hussey,Overseas,Batsman,50,SOLD,Mumbai Indians,2014
2014-Royal Challengers Bangalore,Mitchell Starc-2014,Mitchell Starc,Overseas,Bowler,50,SOLD,Royal Challengers Bangalore,2014
2014-Chennai Super Kings,Faf Du Plessis-2014,Faf Du Plessis,Overseas,Batsman,47.5,SOLD,Chennai Super Kings,2014
2014-Sunrisers Hyderabad,Amit Mishra-2014,Amit Mishra,Indian,Bowler,47.5,SOLD,Sunrisers Hyderabad,2014
2014-Chennai Super Kings,Dwayne Smith-2014,Dwayne Smith,Overseas,Batsman,45,SOLD,Chennai Super Kings,2014
2014-Mumbai Indians,Corey Anderson-2014,Corey Anderson,Overseas,All-Rounder,45,SOLD,Mumbai Indians,2014
2014-Delhi Daredevils,Mohammad Shami-2014,Mohammad Shami,Indian,Bowler,42.5,SOLD,Delhi Daredevils,2014
2014-Delhi Daredevils,Nathan Coulter-Nile-2014,Nathan Coulter-Nile,Overseas,Bowler,42.5,SOLD,Delhi Daredevils,2014
2014-Kolkata Knight Riders,Piyush Chawla-2014,Piyush Chawla,Indian,Bowler,42.5,SOLD,Kolkata Knight Riders,2014
2014-Sunrisers Hyderabad,Bhuvneshwar Kumar-2014,Bhuvneshwar Kumar,Indian,Bowler,42.5,SOLD,Sunrisers Hyderabad,2014
2014-Rajasthan Royals,Steven Smith-2014,Steven Smith,Overseas,All-Rounder,40,SOLD,Rajasthan Royals,2014
2014-Sunrisers Hyderabad,Aaron Finch-2014,Aaron Finch,Overseas,Batsman,40,SOLD,Sunrisers Hyderabad,2014
2014-Sunrisers Hyderabad,Karn Sharma-2014,Karn Sharma,Indian,Bowler,37.5,SOLD,Sunrisers Hyderabad,2014
2014-Delhi Daredevils,Quinton De Kock-2014,Quinton De Kock,Overseas,Batsman,35,SOLD,Delhi Daredevils,2014
2014-Sunrisers Hyderabad,Darren Sammy-2014,Darren Sammy,Overseas,All-Rounder,35,SOLD,Sunrisers Hyderabad,2014
2014-Chennai Super Kings,Brendon McCullum-2014,Brendon McCullum,Overseas,Batsman,32.5,SOLD,Chennai Super Kings,2014
2014-Kings XI Punjab,George Bailey-2014,George Bailey,Overseas,Batsman,32.5,SOLD,Kings XI Punjab,2014
2014-Kolkata Knight Riders,Yusuf Pathan-2014,Yusuf Pathan,Indian,All-Rounder,32.5,SOLD,Kolkata Knight Riders,2014
2014-Mumbai Indians,Pragyan Ojha-2014,Pragyan Ojha,Indian,Bowler,32.5,SOLD,Mumbai Indians,2014
2014-Kings XI Punjab,Virender Sehwag-2014,Virender Sehwag,Indian,Batsman,32,SOLD,Kings XI Punjab,2014
2014-Kings XI Punjab,Rishi Dhawan-2014,Rishi Dhawan,Indian,All-Rounder,30,SOLD,Kings XI Punjab,2014
2014-Delhi Daredevils,Manoj Tiwary-2014,Manoj Tiwary,Indian,Batsman,28,SOLD,Delhi Daredevils,2014
2014-Delhi Daredevils,Jaydev Unadkat-2014,Jaydev Unadkat,Indian,Bowler,28,SOLD,Delhi Daredevils,2014
2014-Kolkata Knight Riders,Shakib Al Hasan-2014,Shakib Al Hasan,Overseas,All-Rounder,28,SOLD,Kolkata Knight Riders,2014
2014-Kolkata Knight Riders,Morne Morkel-2014,Morne Morkel,Overseas,Bowler,28,SOLD,Kolkata Knight Riders,2014
2014-Kolkata Knight Riders,Ranganath Vinay Kumar-2014,Ranganath Vinay Kumar,Indian,Bowler,28,SOLD,Kolkata Knight Riders,2014
2014-Kolkata Knight Riders,Umesh Yadav-2014,Umesh Yadav,Overseas,Bowler,26,SOLD,Kolkata Knight Riders,2014
2014-Mumbai Indians,Zaheer Khan-2014,Zaheer Khan,Indian,Bowler,26,SOLD,Mumbai Indians,2014
2014-Sunrisers Hyderabad,Ishant Sharma-2014,Ishant Sharma,Indian,Bowler,26,SOLD,Sunrisers Hyderabad,2014
2014-Rajasthan Royals,Brad Hodge-2014,Brad Hodge,Overseas,Batsman,24,SOLD,Rajasthan Royals,2014
2014-Royal Challengers Bangalore,Albie Morkel-2014,Albie Morkel,Overseas,All-Rounder,24,SOLD,Royal Challengers Bangalore,2014
2014-Sunrisers Hyderabad,Irfan Pathan-2014,Irfan Pathan,Indian,All-Rounder,24,SOLD,Sunrisers Hyderabad,2014
2014-Delhi Daredevils,Jean-Paul Duminy-2014,Jean-Paul Duminy,Overseas,Batsman,22,SOLD,Delhi Daredevils,2014
2014-Kings XI Punjab,Wriddhiman Saha-2014,Wriddhiman Saha,Indian,Batsman,22,SOLD,Kings XI Punjab,2014
2014-Kings XI Punjab,Shaun Marsh-2014,Shaun Marsh,Overseas,Batsman,22,SOLD,Kings XI Punjab,2014
2014-Chennai Super Kings,Ashish Nehra-2014,Ashish Nehra,Indian,Bowler,20,SOLD,Chennai Super Kings,2014
2014-Chennai Super Kings,Mohit Sharma-2014,Mohit Sharma,Indian,Bowler,20,SOLD,Chennai Super Kings,2014
2014-Delhi Daredevils,Ross Taylor-2014,Ross Taylor,Overseas,Batsman,20,SOLD,Delhi Daredevils,2014
2014-Delhi Daredevils,Kedar Jadhav-2014,Kedar Jadhav,Indian,Batsman,20,SOLD,Delhi Daredevils,2014
2014-Royal Challengers Bangalore,Varun Aaron-2014,Varun Aaron,Overseas,Bowler,20,SOLD,Royal Challengers Bangalore,2014
2014-NONE,Tillakaratne Dilshan-2014,Tillakaratne Dilshan,Overseas,All-Rounder,20,UNSOLD,NONE,2014
2014-NONE,Angelo Mathews-2014,Angelo Mathews,Overseas,All-Rounder,20,UNSOLD,NONE,2014
2014-NONE,Praveen Kumar-2014,Praveen Kumar,Indian,Bowler,20,UNSOLD,NONE,2014
2014-NONE,Alex Hales-2014,Alex Hales,Overseas,Batsman,20,UNSOLD,NONE,2014
2014-NONE,Marlon Samuels-2014,Marlon Samuels,Overseas,Batsman,20,UNSOLD,NONE,2014
2014-NONE,Brett Lee-2014,Brett Lee,Overseas,Bowler,20,UNSOLD,NONE,2014
2014-NONE,Samit Patel-2014,Samit Patel,Overseas,All-Rounder,20,UNSOLD,NONE,2014
2014-NONE,Mahela Jayawardena-2014,Mahela Jayawardena,Overseas,Batsman,20,UNSOLD,NONE,2014
2014-Delhi Daredevils,Rahul Sharma-2014,Rahul Sharma,Indian,Bowler,19,SOLD,Delhi Daredevils,2014
2014-Kings XI Punjab,Cheteshwar Pujara-2014,Cheteshwar Pujara,Indian,Batsman,19,SOLD,Kings XI Punjab,2014
2014-Kings XI Punjab,Beuran Hendricks-2014,Beuran Hendricks,Overseas,Bowler,18,SOLD,Kings XI Punjab,2014
2014-Kings XI Punjab,Lakshmipathy Balaji-2014,Lakshmipathy Balaji,Indian,Bowler,18,SOLD,Kings XI Punjab,2014
2014-Kolkata Knight Riders,Manish Pandey-2014,Manish Pandey,Indian,Batsman,17,SOLD,Kolkata Knight Riders,2014
2014-Rajasthan Royals,Rajat Bhatia-2014,Rajat Bhatia,Indian,All-Rounder,17,SOLD,Rajasthan Royals,2014
2014-Delhi Daredevils,Mayank Agarwal-2014,Mayank Agarwal,Indian,Batsman,16,SOLD,Delhi Daredevils,2014
2014-Kings XI Punjab,Thisara Perera-2014,Thisara Perera,Overseas,All-Rounder,16,SOLD,Kings XI Punjab,2014
2014-Mumbai Indians,Aditya Tare-2014,Aditya Tare,Indian,Batsman,16,SOLD,Mumbai Indians,2014
2014-Chennai Super Kings,Ishwar Chandra Pandey-2014,Ishwar Chandra Pandey,Indian,Bowler,15,SOLD,Chennai Super Kings,2014
2014-Delhi Daredevils,Laxmi Ratan Shukla-2014,Laxmi Ratan Shukla,Indian,All-Rounder,15,SOLD,Delhi Daredevils,2014
2014-Royal Challengers Bangalore,Ashok Dinda-2014,Ashok Dinda,Indian,Bowler,15,SOLD,Royal Challengers Bangalore,2014
2014-NONE,Craig Kieswetter-2014,Craig Kieswetter,Overseas,Batsman,15,UNSOLD,NONE,2014
2014-NONE,Cameron White-2014,Cameron White,Overseas,Batsman,15,UNSOLD,NONE,2014
2014-NONE,Luke Wright-2014,Luke Wright,Overseas,All-Rounder,15,UNSOLD,NONE,2014
2014-NONE,Rangana Herath-2014,Rangana Herath,Overseas,Bowler,15,UNSOLD,NONE,2014
2014-NONE,Brad Hogg-2014,Brad Hogg,Overseas,Bowler,15,UNSOLD,NONE,2014
2014-NONE,Rikki Clarke-2014,Rikki Clarke,Overseas,All-Rounder,15,UNSOLD,NONE,2014
2014-Royal Challengers Bangalore,Parthiv Patel-2014,Parthiv Patel,Indian,Batsman,14,SOLD,Royal Challengers Bangalore,2014
2014-Kings XI Punjab,Gurkirat Singh Mann-2014,Gurkirat Singh Mann,Indian,Batsman,13,SOLD,Kings XI Punjab,2014
2014-Kolkata Knight Riders,Chris Lynn-2014,Chris Lynn,Overseas,Batsman,13,SOLD,Kolkata Knight Riders,2014
2014-Mumbai Indians,Jasprit Bumrah-2014,Jasprit Bumrah,Indian,Bowler,12,SOLD,Mumbai Indians,2014
2014-Rajasthan Royals,Tim Southee-2014,Tim Southee,Overseas,Bowler,12,SOLD,Rajasthan Royals,2014
2014-Rajasthan Royals,Dhawal Kulkarni-2014,Dhawal Kulkarni,Indian,Bowler,11,SOLD,Rajasthan Royals,2014
2014-Chennai Super Kings,Ben Hilfenhaus-2014,Ben Hilfenhaus,Overseas,Bowler,10,SOLD,Chennai Super Kings,2014
2014-Delhi Daredevils,James Neesham-2014,James Neesham,Overseas,All-Rounder,10,SOLD,Delhi Daredevils,2014
