TID,PID,PLAYER,NATIONALITY,TYPE,PRICE,SOLD/UNSOLD,TEAM,YEAR
2022-Mumbai Indians,Ishan Kishan-2022,Ishan Kishan,Indian,Batsman,152.5,SOLD,Mumbai Indians,2022
2022-Chennai Super Kings,Deepak Chahar-2022,Deepak Chahar,Indian,Bowler,140,SOLD,Chennai Super Kings,2022
2022-Kolkata Knight Riders,Shreyas Iyer-2022,Shreyas Iyer,Indian,Batsman,122.5,SOLD,Kolkata Knight Riders,2022
2022-Punjab Kings,Liam Livingstone-2022,Liam Livingstone,Overseas,All-Rounder,115,SOLD,Punjab Kings,2022
2022-Delhi Capitals,Shardul Thakur-2022,Shardul Thakur,Indian,Bowler,107.5,SOLD,Delhi Capitals,2022
2022-Royal Challengers Bangalore,Wanindu Hasaranga-2022,Wanindu Hasaranga,Overseas,All-Rounder,107.5,SOLD,Royal Challengers Bangalore,2022
2022-Royal Challengers Bangalore,Harshal Patel-2022,Harshal Patel,Indian,All-Rounder,107.5,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Nicholas Pooran-2022,Nicholas Pooran,Overseas,Batsman,107.5,SOLD,Sunrisers Hyderabad,2022
2022-Gujarat Titans,Lockie Ferguson-2022,Lockie Ferguson,Overseas,Bowler,100,SOLD,Gujarat Titans,2022
2022-Lucknow Super Giants,Avesh Khan-2022,Avesh Khan,Indian,Bowler,100,SOLD,Lucknow Super Giants,2022
2022-Rajasthan Royals,Prasidh Krishna-2022,Prasidh Krishna,Indian,Bowler,100,SOLD,Rajasthan Royals,2022
2022-Punjab Kings,Kagiso Rabada-2022,Kagiso Rabada,Overseas,Bowler,92.5,SOLD,Punjab Kings,2022
2022-Gujarat Titans,Rahul Tewatia-2022,Rahul Tewatia,Indian,All-Rounder,90,SOLD,Gujarat Titans,2022
2022-Punjab Kings,Shahrukh Khan-2022,Shahrukh Khan,Indian,All-Rounder,90,SOLD,Punjab Kings,2022
2022-Lucknow Super Giants,Jason Holder-2022,Jason Holder,Overseas,All-Rounder,87.5,SOLD,Lucknow Super Giants,2022
2022-Sunrisers Hyderabad,Washington Sundar-2022,Washington Sundar,Indian,All-Rounder,87.5,SOLD,Sunrisers Hyderabad,2022
2022-Rajasthan Royals,Shimron Hetmyer-2022,Shimron Hetmyer,Overseas,Batsman,85,SOLD,Rajasthan Royals,2022
2022-Sunrisers Hyderabad,Rahul Tripathi-2022,Rahul Tripathi,Indian,Batsman,85,SOLD,Sunrisers Hyderabad,2022
2022-Lucknow Super Giants,Krunal Pandya-2022,Krunal Pandya,Indian,All-Rounder,82.5,SOLD,Lucknow Super Giants,2022
2022-Mumbai Indians,Tim David-2022,Tim David,Overseas,All-Rounder,82.5,SOLD,Mumbai Indians,2022
2022-Punjab Kings,Shikhar Dhawan-2022,Shikhar Dhawan,Indian,Batsman,82.5,SOLD,Punjab Kings,2022
2022-Kolkata Knight Riders,Nitish Rana-2022,Nitish Rana,Indian,All-Rounder,80,SOLD,Kolkata Knight Riders,2022
2022-Mumbai Indians,Jofra Archer-2022,Jofra Archer,Overseas,All-Rounder,80,SOLD,Mumbai Indians,2022
2022-Rajasthan Royals,Trent Boult-2022,Trent Boult,Overseas,Bowler,80,SOLD,Rajasthan Royals,2022
2022-Rajasthan Royals,Devdutt Padikkal-2022,Devdutt Padikkal,Indian,Batsman,77.5,SOLD,Rajasthan Royals,2022
2022-Royal Challengers Bangalore,Josh Hazlewood-2022,Josh Hazlewood,Overseas,Bowler,77.5,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Romario Shepherd-2022,Romario Shepherd,Overseas,All-Rounder,77.5,SOLD,Sunrisers Hyderabad,2022
2022-Lucknow Super Giants,Mark Wood-2022,Mark Wood,Overseas,Bowler,75,SOLD,Lucknow Super Giants,2022
2022-Kolkata Knight Riders,Pat Cummins-2022,Pat Cummins,Overseas,All-Rounder,72.5,SOLD,Kolkata Knight Riders,2022
2022-Kolkata Knight Riders,Shivam Mavi-2022,Shivam Mavi,Indian,All-Rounder,72.5,SOLD,Kolkata Knight Riders,2022
2022-Royal Challengers Bangalore,Faf Du Plessis-2022,Faf Du Plessis,Overseas,Batsman,70,SOLD,Royal Challengers Bangalore,2022
2022-Chennai Super Kings,Ambati Rayudu-2022,Ambati Rayudu,Indian,Batsman,67.5,SOLD,Chennai Super Kings,2022
2022-Lucknow Super Giants,Quinton De Kock-2022,Quinton De Kock,Overseas,Batsman,67.5,SOLD,Lucknow Super Giants,2022
2022-Punjab Kings,Jonny Bairstow-2022,Jonny Bairstow,Overseas,Batsman,67.5,SOLD,Punjab Kings,2022
2022-Delhi Capitals,Mitchell Marsh-2022,Mitchell Marsh,Overseas,All-Rounder,65,SOLD,Delhi Capitals,2022
2022-Rajasthan Royals,Yuzvendra Chahal-2022,Yuzvendra Chahal,Indian,Bowler,65,SOLD,Rajasthan Royals,2022
2022-Sunrisers Hyderabad,Abhishek Sharma-2022,Abhishek Sharma,Indian,All-Rounder,65,SOLD,Sunrisers Hyderabad,2022
2022-Delhi Capitals,David Warner-2022,David Warner,Overseas,Batsman,62.5,SOLD,Delhi Capitals,2022
2022-Gujarat Titans,Mohammad Shami-2022,Mohammad Shami,Indian,Bowler,62.5,SOLD,Gujarat Titans,2022
2022-Punjab Kings,Odean Smith-2022,Odean Smith,Overseas,All-Rounder,60,SOLD,Punjab Kings,2022
2022-Lucknow Super Giants,Deepak Hooda-2022,Deepak Hooda,Indian,All-Rounder,57.5,SOLD,Lucknow Super Giants,2022
2022-Royal Challengers Bangalore,Dinesh Karthik-2022,Dinesh Karthik,Indian,Batsman,55,SOLD,Royal Challengers Bangalore,2022
2022-Delhi Capitals,Syed Khaleel Ahmed-2022,Syed Khaleel Ahmed,Indian,Bowler,52.5,SOLD,Delhi Capitals,2022
2022-Punjab Kings,Rahul Chahar-2022,Rahul Chahar,Indian,Bowler,52.5,SOLD,Punjab Kings,2022
2022-Rajasthan Royals,R. Ashwin-2022,R. Ashwin,Indian,All-Rounder,50,SOLD,Rajasthan Royals,2022
2022-Lucknow Super Giants,Manish Pandey-2022,Manish Pandey,Indian,Batsman,46,SOLD,Lucknow Super Giants,2022
2022-Chennai Super Kings,Dwayne Bravo-2022,Dwayne Bravo,Overseas,All-Rounder,44,SOLD,Chennai Super Kings,2022
2022-Delhi Capitals,Chetan Sakariya-2022,Chetan Sakariya,Indian,Bowler,42,SOLD,Delhi Capitals,2022
2022-Sunrisers Hyderabad,Bhuvneshwar Kumar-2022,Bhuvneshwar Kumar,Indian,Bowler,42,SOLD,Sunrisers Hyderabad,2022
2022-Sunrisers Hyderabad,Marco Jansen-2022,Marco Jansen,Overseas,All-Rounder,42,SOLD,Sunrisers Hyderabad,2022
2022-Chennai Super Kings,Shivam Dube-2022,Shivam Dube,Indian,All-Rounder,40,SOLD,Chennai Super Kings,2022
2022-Sunrisers Hyderabad,T. Natarajan-2022,T. Natarajan,Indian,Bowler,40,SOLD,Sunrisers Hyderabad,2022
2022-Sunrisers Hyderabad,Kartik Tyagi-2022,Kartik Tyagi,Indian,Bowler,40,SOLD,Sunrisers Hyderabad,2022
2022-Punjab Kings,Harpreet Brar-2022,Harpreet Brar,Indian,All-Rounder,38,SOLD,Punjab Kings,2022
2022-Rajasthan Royals,Riyan Parag-2022,Riyan Parag,Indian,All-Rounder,38,SOLD,Rajasthan Royals,2022
2022-Chennai Super Kings,Chris Jordan-2022,Chris Jordan,Overseas,All-Rounder,36,SOLD,Chennai Super Kings,2022
2022-Royal Challengers Bangalore,Anuj Rawat-2022,Anuj Rawat,Indian,Batsman,34,SOLD,Royal Challengers Bangalore,2022
2022-Gujarat Titans,Yash Dayal-2022,Yash Dayal,Indian,Bowler,32,SOLD,Gujarat Titans,2022
2022-Gujarat Titans,David Miller-2022,David Miller,Overseas,Batsman,30,SOLD,Gujarat Titans,2022
2022-Gujarat Titans,R. Sai Kishore-2022,R. Sai Kishore,Indian,Bowler,30,SOLD,Gujarat Titans,2022
2022-Mumbai Indians,Dewald Brevis-2022,Dewald Brevis,Overseas,Batsman,30,SOLD,Mumbai Indians,2022
2022-Delhi Capitals,Rovman Powell-2022,Rovman Powell,Overseas,Batsman,28,SOLD,Delhi Capitals,2022
2022-Gujarat Titans,Abhinav Sadarangani-2022,Abhinav Sadarangani,Indian,Batsman,26,SOLD,Gujarat Titans,2022
2022-Mumbai Indians,Daniel Sams-2022,Daniel Sams,Overseas,All-Rounder,26,SOLD,Mumbai Indians,2022
2022-Rajasthan Royals,Navdeep Saini-2022,Navdeep Saini,Indian,Bowler,26,SOLD,Rajasthan Royals,2022
2022-Sunrisers Hyderabad,Aiden Markram-2022,Aiden Markram,Overseas,Batsman,26,SOLD,Sunrisers Hyderabad,2022
2022-Gujarat Titans,Matthew Wade-2022,Matthew Wade,Overseas,Batsman,24,SOLD,Gujarat Titans,2022
2022-Gujarat Titans,Alzarri Joseph-2022,Alzarri Joseph,Overseas,Bowler,24,SOLD,Gujarat Titans,2022
2022-Royal Challengers Bangalore,Shahbaz Ahamad-2022,Shahbaz Ahamad,Indian,All-Rounder,24,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Sean Abbott-2022,Sean Abbott,Overseas,Bowler,24,SOLD,Sunrisers Hyderabad,2022
2022-Chennai Super Kings,Robin Uthappa-2022,Robin Uthappa,Indian,Batsman,20,SOLD,Chennai Super Kings,2022
2022-Delhi Capitals,Mustafizur Rahman-2022,Mustafizur Rahman,Overseas,Bowler,20,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,Kuldeep Yadav-2022,Kuldeep Yadav,Indian,Bowler,20,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,K.S. Bharat-2022,K.S. Bharat,Indian,Batsman,20,SOLD,Delhi Capitals,2022
2022-Gujarat Titans,Jason Roy-2022,Jason Roy,Overseas,Batsman,20,SOLD,Gujarat Titans,2022
2022-Kolkata Knight Riders,Sam Billings-2022,Sam Billings,Overseas,Batsman,20,SOLD,Kolkata Knight Riders,2022
2022-Kolkata Knight Riders,Umesh Yadav-2022,Umesh Yadav,Indian,Bowler,20,SOLD,Kolkata Knight Riders,2022
2022-Lucknow Super Giants,Dushmanta Chameera-2022,Dushmanta Chameera,Overseas,Bowler,20,SOLD,Lucknow Super Giants,2022
2022-Lucknow Super Giants,Evin Lewis-2022,Evin Lewis,Overseas,Batsman,20,SOLD,Lucknow Super Giants,2022
2022-Punjab Kings,Raj Angad Bawa-2022,Raj Angad Bawa,Indian,All-Rounder,20,SOLD,Punjab Kings,2022
2022-Punjab Kings,Vaibhav Arora-2022,Vaibhav Arora,Indian,Bowler,20,SOLD,Punjab Kings,2022
2022-Rajasthan Royals,Nathan Coulter-Nile-2022,Nathan Coulter-Nile,Overseas,Bowler,20,SOLD,Rajasthan Royals,2022
2022-Royal Challengers Bangalore,David Willey-2022,David Willey,Overseas,All-Rounder,20,SOLD,Royal Challengers Bangalore,2022
2022-NONE,Suresh Raina-2022,Suresh Raina,Indian,Batsman,20,UNSOLD,NONE,2022
2022-NONE,Steve Smith-2022,Steve Smith,Overseas,Batsman,20,UNSOLD,NONE,2022
2022-NONE,Shakib Al Hasan-2022,Shakib Al Hasan,Overseas,All-Rounder,20,UNSOLD,NONE,2022
2022-NONE,Adil Rashid-2022,Adil Rashid,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,Imran Tahir-2022,Imran Tahir,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,Mujeeb Zadran-2022,Mujeeb Zadran,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,Adam Zampa-2022,Adam Zampa,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,James Vince-2022,James Vince,Overseas,Batsman,20,UNSOLD,NONE,2022
2022-NONE,Marchant De Lange-2022,Marchant De Lange,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,Saqib Mahmood-2022,Saqib Mahmood,Overseas,Bowler,20,UNSOLD,NONE,2022
2022-NONE,Ashton Agar-2022,Ashton Agar,Overseas,All-Rounder,20,UNSOLD,NONE,2022
2022-NONE,Craig Overton-2022,Craig Overton,Overseas,All-Rounder,20,UNSOLD,NONE,2022
2022-Chennai Super Kings,Mitchell Santner-2022,Mitchell Santner,Overseas,All-Rounder,19,SOLD,Chennai Super Kings,2022
2022-Chennai Super Kings,Adam Milne-2022,Adam Milne,Overseas,Bowler,19,SOLD,Chennai Super Kings,2022
2022-Gujarat Titans,Wriddhiman Saha-2022,Wriddhiman Saha,Indian,Batsman,19,SOLD,Gujarat Titans,2022
2022-Gujarat Titans,Jayant Yadav-2022,Jayant Yadav,Indian,All-Rounder,17,SOLD,Gujarat Titans,2022
2022-Mumbai Indians,N. Tilak Varma-2022,N. Tilak Varma,Indian,All-Rounder,17,SOLD,Mumbai Indians,2022
2022-Mumbai Indians,Murugan Ashwin-2022,Murugan Ashwin,Indian,Bowler,16,SOLD,Mumbai Indians,2022
2022-Chennai Super Kings,Rajvardhan Hangargekar-2022,Rajvardhan Hangargekar,Indian,All-Rounder,15,SOLD,Chennai Super Kings,2022
2022-Kolkata Knight Riders,Alex Hales-2022,Alex Hales,Overseas,Batsman,15,SOLD,Kolkata Knight Riders,2022
2022-Kolkata Knight Riders,Tim Southee-2022,Tim Southee,Overseas,Bowler,15,SOLD,Kolkata Knight Riders,2022
2022-Mumbai Indians,Tymal Mills-2022,Tymal Mills,Overseas,Bowler,15,SOLD,Mumbai Indians,2022
2022-Rajasthan Royals,James Neesham-2022,James Neesham,Overseas,All-Rounder,15,SOLD,Rajasthan Royals,2022
2022-Sunrisers Hyderabad,Glenn Phillips-2022,Glenn Phillips,Overseas,Batsman,15,SOLD,Sunrisers Hyderabad,2022
2022-NONE,Amit Mishra-2022,Amit Mishra,Indian,Bowler,15,UNSOLD,NONE,2022
2022-NONE,Aaron Finch-2022,Aaron Finch,Overseas,Batsman,15,UNSOLD,NONE,2022
2022-NONE,Dawid Malan-2022,Dawid Malan,Overseas,Batsman,15,UNSOLD,NONE,2022
2022-NONE,Eoin Morgan-2022,Eoin Morgan,Overseas,Batsman,15,UNSOLD,NONE,2022
2022-NONE,Ishant Sharma-2022,Ishant Sharma,Indian,Bowler,15,UNSOLD,NONE,2022
2022-NONE,Chris Lynn-2022,Chris Lynn,Overseas,Batsman,15,UNSOLD,NONE,2022
2022-NONE,Usman Khawaja-2022,Usman Khawaja,Overseas,Batsman,15,UNSOLD,NONE,2022
2022-NONE,Lewis Gregory-2022,Lewis Gregory,Overseas,All-Rounder,15,UNSOLD,NONE,2022
2022-NONE,Kane Richardson-2022,Kane Richardson,Overseas,Bowler,15,UNSOLD,NONE,2022
2022-NONE,Colin Munro-2022,Colin Munro,Overseas,All-Rounder,15,UNSOLD,NONE,2022
2022-Gujarat Titans,Vijay Shankar-2022,Vijay Shankar,Indian,All-Rounder,14,SOLD,Gujarat Titans,2022
2022-Rajasthan Royals,Karun Nair-2022,Karun Nair,Indian,Batsman,14,SOLD,Rajasthan Royals,2022
2022-Mumbai Indians,Jaydev Unadkat-2022,Jaydev Unadkat,Indian,Bowler,13,SOLD,Mumbai Indians,2022
2022-Chennai Super Kings,Prashant Solanki-2022,Prashant Solanki,Indian,Bowler,12,SOLD,Chennai Super Kings,2022
2022-Delhi Capitals,Kamlesh Nagarkoti-2022,Kamlesh Nagarkoti,Indian,All-Rounder,11,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,Mandeep Singh-2022,Mandeep Singh,Indian,Batsman,11,SOLD,Delhi Capitals,2022
2022-Gujarat Titans,Dominic Drakes-2022,Dominic Drakes,Overseas,All-Rounder,11,SOLD,Gujarat Titans,2022
2022-Chennai Super Kings,Devon Conway-2022,Devon Conway,Overseas,Batsman,10,SOLD,Chennai Super Kings,2022
2022-Kolkata Knight Riders,Mohammad Nabi-2022,Mohammad Nabi,Overseas,All-Rounder,10,SOLD,Kolkata Knight Riders,2022
2022-Kolkata Knight Riders,Ajinkya Rahane-2022,Ajinkya Rahane,Indian,Batsman,10,SOLD,Kolkata Knight Riders,2022
2022-Mumbai Indians,Riley Meredith-2022,Riley Meredith,Overseas,Bowler,10,SOLD,Mumbai Indians,2022
2022-Rajasthan Royals,Rassie Van Der Dussen-2022,Rassie Van Der Dussen,Overseas,Batsman,10,SOLD,Rajasthan Royals,2022
2022-Royal Challengers Bangalore,Sherfane Rutherford-2022,Sherfane Rutherford,Overseas,All-Rounder,10,SOLD,Royal Challengers Bangalore,2022
2022-NONE,Marnus Labuschagne-2022,Marnus Labuschagne,Overseas,Batsman,10,UNSOLD,NONE,2022
2022-NONE,Piyush Chawla-2022,Piyush Chawla,Indian,Bowler,10,UNSOLD,NONE,2022
2022-NONE,Tabraiz Shamsi-2022,Tabraiz Shamsi,Overseas,Bowler,10,UNSOLD,NONE,2022
2022-NONE,Joshua Philippe-2022,Joshua Philippe,Overseas,Batsman,10,UNSOLD,NONE,2022
2022-NONE,Andrew Tye-2022,Andrew Tye,Overseas,Bowler,10,UNSOLD,NONE,2022
2022-NONE,Rilee Rossouw-2022,Rilee Rossouw,Overseas,Batsman,10,UNSOLD,NONE,2022
2022-NONE,Roston Chase-2022,Roston Chase,Overseas,All-Rounder,10,UNSOLD,NONE,2022
2022-NONE,Moises Henriques-2022,Moises Henriques,Overseas,All-Rounder,10,UNSOLD,NONE,2022
2022-NONE,Kedar Jadhav-2022,Kedar Jadhav,Indian,All-Rounder,10,UNSOLD,NONE,2022
2022-NONE,Colin De Grandhomme-2022,Colin De Grandhomme,Overseas,All-Rounder,10,UNSOLD,NONE,2022
2022-NONE,James Faulkner-2022,James Faulkner,Overseas,All-Rounder,10,UNSOLD,NONE,2022
2022-NONE,Darcy Short-2022,Darcy Short,Overseas,All-Rounder,10,UNSOLD,NONE,2022
2022-Royal Challengers Bangalore,Mahipal Lomror-2022,Mahipal Lomror,Indian,All-Rounder,9.5,SOLD,Royal Challengers Bangalore,2022
2022-Lucknow Super Giants,K. Gowtham-2022,K. Gowtham,Indian,All-Rounder,9,SOLD,Lucknow Super Giants,2022
2022-Royal Challengers Bangalore,Finn Allen-2022,Finn Allen,Overseas,Batsman,8,SOLD,Royal Challengers Bangalore,2022
2022-Mumbai Indians,Fabian Allen-2022,Fabian Allen,Overseas,All-Rounder,7.5,SOLD,Mumbai Indians,2022
2022-Punjab Kings,Nathan Ellis-2022,Nathan Ellis,Overseas,Bowler,7.5,SOLD,Punjab Kings,2022
2022-Rajasthan Royals,Daryl Mitchell-2022,Daryl Mitchell,Overseas,All-Rounder,7.5,SOLD,Rajasthan Royals,2022
2022-Rajasthan Royals,Obed Mccoy-2022,Obed Mccoy,Overseas,Bowler,7.5,SOLD,Rajasthan Royals,2022
2022-Royal Challengers Bangalore,Jason Behrendorff-2022,Jason Behrendorff,Overseas,Bowler,7.5,SOLD,Royal Challengers Bangalore,2022
2022-Royal Challengers Bangalore,Siddharth Kaul-2022,Siddharth Kaul,Indian,Bowler,7.5,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Shreyas Gopal-2022,Shreyas Gopal,Indian,Bowler,7.5,SOLD,Sunrisers Hyderabad,2022
2022-NONE,Sheldon Cottrell-2022,Sheldon Cottrell,Overseas,Bowler,7.5,UNSOLD,NONE,2022
2022-NONE,Reece Topley-2022,Reece Topley,Overseas,Bowler,7.5,UNSOLD,NONE,2022
2022-NONE,Todd Astle-2022,Todd Astle,Overseas,Bowler,7.5,UNSOLD,NONE,2022
2022-NONE,Martin Guptill-2022,Martin Guptill,Overseas,Batsman,7.5,UNSOLD,NONE,2022
2022-NONE,Ben Cutting-2022,Ben Cutting,Overseas,All-Rounder,7.5,UNSOLD,NONE,2022
2022-NONE,Scott Kuggeleijn-2022,Scott Kuggeleijn,Overseas,All-Rounder,7.5,UNSOLD,NONE,2022
2022-NONE,Dhawal Kulkarni-2022,Dhawal Kulkarni,Indian,Bowler,7.5,UNSOLD,NONE,2022
2022-NONE,Darren Bravo-2022,Darren Bravo,Overseas,Batsman,7.5,UNSOLD,NONE,2022
2022-NONE,Carlos Brathwaite-2022,Carlos Brathwaite,Overseas,All-Rounder,7.5,UNSOLD,NONE,2022
2022-NONE,Keemo Paul-2022,Keemo Paul,Overseas,All-Rounder,7.5,UNSOLD,NONE,2022
2022-NONE,Billy Stanlake-2022,Billy Stanlake,Overseas,Bowler,7.5,UNSOLD,NONE,2022
2022-Chennai Super Kings,Maheesh Theekshana-2022,Maheesh Theekshana,Overseas,Bowler,7,SOLD,Chennai Super Kings,2022
2022-Delhi Capitals,Lalit Yadav-2022,Lalit Yadav,Indian,All-Rounder,6.5,SOLD,Delhi Capitals,2022
2022-Mumbai Indians,Mayank Markande-2022,Mayank Markande,Indian,Bowler,6.5,SOLD,Mumbai Indians,2022
2022-Kolkata Knight Riders,Sheldon Jackson-2022,Sheldon Jackson,Indian,Batsman,6,SOLD,Kolkata Knight Riders,2022
2022-Punjab Kings,Prabhsimran Singh-2022,Prabhsimran Singh,Indian,Batsman,6,SOLD,Punjab Kings,2022
2022-Kolkata Knight Riders,Rinku Singh-2022,Rinku Singh,Indian,Batsman,5.5,SOLD,Kolkata Knight Riders,2022
2022-Kolkata Knight Riders,Ashok Sharma-2022,Ashok Sharma,Indian,Bowler,5.5,SOLD,Kolkata Knight Riders,2022
2022-Punjab Kings,Rishi Dhawan-2022,Rishi Dhawan,Indian,All-Rounder,5.5,SOLD,Punjab Kings,2022
2022-Chennai Super Kings,Dwaine Pretorius-2022,Dwaine Pretorius,Overseas,All-Rounder,5,SOLD,Chennai Super Kings,2022
2022-Delhi Capitals,Lungisani Ngidi-2022,Lungisani Ngidi,Overseas,Bowler,5,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,Yash Dhull-2022,Yash Dhull,Indian,All-Rounder,5,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,Tim Seifert-2022,Tim Seifert,Overseas,Batsman,5,SOLD,Delhi Capitals,2022
2022-Delhi Capitals,Pravin Dubey-2022,Pravin Dubey,Indian,All-Rounder,5,SOLD,Delhi Capitals,2022
2022-Gujarat Titans,Gurkeerat Singh-2022,Gurkeerat Singh,Indian,All-Rounder,5,SOLD,Gujarat Titans,2022
2022-Gujarat Titans,Varun Aaron-2022,Varun Aaron,Indian,Bowler,5,SOLD,Gujarat Titans,2022
2022-Kolkata Knight Riders,Chamika Karunaratne-2022,Chamika Karunaratne,Overseas,All-Rounder,5,SOLD,Kolkata Knight Riders,2022
2022-Lucknow Super Giants,Ankit Singh Rajpoot-2022,Ankit Singh Rajpoot,Indian,Bowler,5,SOLD,Lucknow Super Giants,2022
2022-Lucknow Super Giants,Shahbaz Nadeem-2022,Shahbaz Nadeem,Indian,Bowler,5,SOLD,Lucknow Super Giants,2022
2022-Lucknow Super Giants,Kyle Mayers-2022,Kyle Mayers,Overseas,All-Rounder,5,SOLD,Lucknow Super Giants,2022
2022-Mumbai Indians,Sanjay Yadav-2022,Sanjay Yadav,Indian,All-Rounder,5,SOLD,Mumbai Indians,2022
2022-Punjab Kings,Sandeep Sharma-2022,Sandeep Sharma,Indian,Bowler,5,SOLD,Punjab Kings,2022
2022-Punjab Kings,Bhanuka Rajapaksa-2022,Bhanuka Rajapaksa,Overseas,Batsman,5,SOLD,Punjab Kings,2022
2022-Royal Challengers Bangalore,Karn Sharma-2022,Karn Sharma,Indian,Bowler,5,SOLD,Royal Challengers Bangalore,2022
2022-Sunrisers Hyderabad,Vishnu Vinod-2022,Vishnu Vinod,Indian,Batsman,5,SOLD,Sunrisers Hyderabad,2022
2022-Sunrisers Hyderabad,Fazalhaq Farooqi-2022,Fazalhaq Farooqi,Overseas,Bowler,5,SOLD,Sunrisers Hyderabad,2022
2022-NONE,Cheteshwar Pujara-2022,Cheteshwar Pujara,Indian,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Saurabh Tiwary-2022,Saurabh Tiwary,Indian,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Qais Ahmad-2022,Qais Ahmad,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Ish Sodhi-2022,Ish Sodhi,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Najibullah Zadran-2022,Najibullah Zadran,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Charith Asalanka-2022,Charith Asalanka,Overseas,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,George Garton-2022,George Garton,Overseas,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,Litton Das-2022,Litton Das,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Niroshan Dickwella-2022,Niroshan Dickwella,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Andre Fletcher-2022,Andre Fletcher,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Rahmanullah Gurbaz-2022,Rahmanullah Gurbaz,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Shai Hope-2022,Shai Hope,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Heinrich Klaasen-2022,Heinrich Klaasen,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Ben Mcdermott-2022,Ben Mcdermott,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Kusal Mendis-2022,Kusal Mendis,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Kusal Perera-2022,Kusal Perera,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Sandeep Warrier-2022,Sandeep Warrier,Indian,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Akila Dhananjaya-2022,Akila Dhananjaya,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Zahir Khan-2022,Zahir Khan,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Keshav Maharaj-2022,Keshav Maharaj,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Waqar Salamkheil-2022,Waqar Salamkheil,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Rahul Sharma-2022,Rahul Sharma,Indian,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Hayden Walsh-2022,Hayden Walsh,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Brandon King-2022,Brandon King,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Janneman Malan-2022,Janneman Malan,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Paul Stirling-2022,Paul Stirling,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Hanuma Vihari-2022,Hanuma Vihari,Indian,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Hazratullah Zazai-2022,Hazratullah Zazai,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Akeal Hosein-2022,Akeal Hosein,Overseas,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,Karim Janat-2022,Karim Janat,Overseas,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,Pawan Negi-2022,Pawan Negi,Indian,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,Taskin Ahmed-2022,Taskin Ahmed,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,Naveen Ul Haq-2022,Naveen Ul Haq,Overseas,Bowler,5,UNSOLD,NONE,2022
2022-NONE,David Wiese-2022,David Wiese,Overseas,All-Rounder,5,UNSOLD,NONE,2022
2022-NONE,Shamrah Brooks-2022,Shamrah Brooks,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Avishka Fernando-2022,Avishka Fernando,Overseas,Batsman,5,UNSOLD,NONE,2022
2022-NONE,Zubayr Hamza-2022,Zubayr Hamza,Overseas,Batsman,5,UNSOLD,NONE,2022
